inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,concept,value,year
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,consumed,16538490712.01,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,consumed,16538490712.01,2005
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,consumed,442833.0,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Gasoline,Gasoline,VMT,consumed,17241220767.81,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Diesel,Diesel,VMT,consumed,91007294.35,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,CNG,Natural gas,VMT,consumed,0.0,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Electricity,Electricity,VMT,consumed,0.0,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Other,Other,VMT,consumed,0.0,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Gasoline,Gasoline,VMT,consumed,366138397.18,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Diesel,Diesel,VMT,consumed,121490182.96,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,CNG,Natural gas,VMT,consumed,0.0,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Electricity,Electricity,VMT,consumed,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Gasoline,Gasoline,VMT,consumed,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Diesel,Diesel,VMT,consumed,593693069.88,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,CNG,Natural gas,VMT,consumed,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Electricity,Electricity,VMT,consumed,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Biofuel,Biofuel,VMT,consumed,0.0,2005
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Diesel,Diesel,VMT,consumed,38600985.12,2005
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,CNG,Natural gas,VMT,consumed,0.0,2005
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Gasoline,Gasoline,VMT,consumed,0.0,2005
GPC,Transportation,For Hire,For hire vehicles,Gasoline,Gasoline,VMT,consumed,1985823083.0,2005
GPC,Transportation,For Hire,For hire vehicles,Diesel,Diesel,VMT,consumed,0.0,2005
GPC,Transportation,For Hire,For hire vehicles,Electricity,Electricity,VMT,consumed,0.0,2005
GPC,Transportation,School Bus,School buses,Gasoline,Gasoline,VMT,consumed,0.0,2005
GPC,Transportation,School Bus,School buses,Diesel,Diesel,VMT,consumed,51309025.0,2005
GPC,Transportation,School Bus,School buses,Electricity,Electricity,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream CNG,Upstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Downstream CNG,Downstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream CNG,Upstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Downstream CNG,Downstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream CNG,Upstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Downstream CNG,Downstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Upstream CNG,Upstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Downstream CNG,Downstream CNG,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream Electricity,Upstream Electricity,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream Electricity,Upstream Electricity,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream Electricity,Upstream Electricity,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,School Bus,School buses,Upstream Electricity,Upstream Electricity,VMT,consumed,0.0,2005
CLCPA Addition,Transportation,For Hire,For hire vehicles,Upstream Electricity,Upstream Electricity,VMT,consumed,0.0,2005
GPC,Transportation,Buses,Buses,Diesel,Diesel,VMT,consumed,339477973.55,2005
GPC,Transportation,Buses,Buses,CNG,Natural gas,VMT,consumed,6523813.14,2005
CLCPA Addition,Transportation,Buses,Buses,Upstream CNG,Upstream CNG,VMT,consumed,6523813.14,2005
CLCPA Addition,Transportation,Buses,Buses,Downstream CNG,Downstream CNG,VMT,consumed,6523813.14,2005
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,consumed,2223041707.65,2005
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,consumed,1375601.3,2005
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,consumed,2223041707.65,2005
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,consumed,4820479.61,2005
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,consumed,0.0,2005
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,consumed,246497.04,2005
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,consumed,7420036.11,2005
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,consumed,26351.0,2005
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,consumed,6536.09,2005
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,consumed,285.64,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,tco2e_100_yr_gwp,1517233.2,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,tco2e_100_yr_gwp,856223.01,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,tco2e_100_yr_gwp,2191841.89,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,tco2e_100_yr_gwp,4.77,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,tco2e_100_yr_gwp,7062392.25,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,tco2e_100_yr_gwp,8983129.56,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,tco2e_100_yr_gwp,332184.37,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,tco2e_100_yr_gwp,0.0,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,tco2e_100_yr_gwp,859764.0,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,tco2e_100_yr_gwp,152817.59,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,tco2e_100_yr_gwp,268960.89,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Biofuel,Biofuel,gallon,tco2e_100_yr_gwp,1.2,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Electricity,Electricity,kWh,tco2e_100_yr_gwp,13072703.86,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Natural gas,Natural gas,SCF,tco2e_100_yr_gwp,3004274.01,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Steam,Steam,kg,tco2e_100_yr_gwp,1239310.47,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Steam,Upstream Steam,kg,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,tco2e_100_yr_gwp,0.0,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,tco2e_100_yr_gwp,198211.32,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,tco2e_100_yr_gwp,32925.1,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,tco2e_100_yr_gwp,20768.65,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,tco2e_100_yr_gwp,0.21,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,tco2e_100_yr_gwp,4376442.0,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,tco2e_100_yr_gwp,901282.2,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,tco2e_100_yr_gwp,371793.14,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,tco2e_100_yr_gwp,0.0,2005
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,tco2e_100_yr_gwp,206847.19,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Gasoline,Gasoline,VMT,tco2e_100_yr_gwp,11130380.02,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Diesel,Diesel,VMT,tco2e_100_yr_gwp,75131.67,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,CNG,Natural gas,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Electricity,Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Passenger cars (public and private),Passenger cars,Other,Other,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Gasoline,Gasoline,VMT,tco2e_100_yr_gwp,268443.02,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Diesel,Diesel,VMT,tco2e_100_yr_gwp,117119.82,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,CNG,Natural gas,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Medium duty trucks (public and private),Medium duty trucks,Electricity,Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Gasoline,Gasoline,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Diesel,Diesel,VMT,tco2e_100_yr_gwp,1362756.54,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,CNG,Natural gas,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Electricity,Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Biofuel,Biofuel,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Diesel,Diesel,VMT,tco2e_100_yr_gwp,61694.52,2005
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,CNG,Natural gas,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Refuse Truck (public and private),Refuse trucks,Gasoline,Gasoline,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,For Hire,For hire vehicles,Gasoline,Gasoline,VMT,tco2e_100_yr_gwp,1280453.84,2005
GPC,Transportation,For Hire,For hire vehicles,Diesel,Diesel,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,For Hire,For hire vehicles,Electricity,Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,School Bus,School buses,Gasoline,Gasoline,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,School Bus,School buses,Diesel,Diesel,VMT,tco2e_100_yr_gwp,49463.29,2005
GPC,Transportation,School Bus,School buses,Electricity,Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream CNG,Upstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Downstream CNG,Downstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream CNG,Upstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Downstream CNG,Downstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream CNG,Upstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Downstream CNG,Downstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Upstream CNG,Upstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Refuse Truck (public and private),Refuse trucks,Downstream CNG,Downstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Passenger cars (public and private),Passenger cars,Upstream Electricity,Upstream Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Medium duty trucks (public and private),Medium duty trucks,Upstream Electricity,Upstream Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Heavy duty trucks (public and private),Heavy duty trucks,Upstream Electricity,Upstream Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,School Bus,School buses,Upstream Electricity,Upstream Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,For Hire,For hire vehicles,Upstream Electricity,Upstream Electricity,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Buses,Buses,Diesel,Diesel,VMT,tco2e_100_yr_gwp,674530.21,2005
GPC,Transportation,Buses,Buses,CNG,Natural gas,VMT,tco2e_100_yr_gwp,12532.5,2005
CLCPA Addition,Transportation,Buses,Buses,Upstream CNG,Upstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
CLCPA Addition,Transportation,Buses,Buses,Downstream CNG,Downstream CNG,VMT,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,tco2e_100_yr_gwp,1108101.94,2005
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,tco2e_100_yr_gwp,14233.32,2005
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,tco2e_100_yr_gwp,50737.18,2005
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,tco2e_100_yr_gwp,0.0,2005
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,tco2e_100_yr_gwp,2068.58,2005
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,tco2e_100_yr_gwp,2256528.29,2005
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,tco2e_100_yr_gwp,5098.92,2005
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,tco2e_100_yr_gwp,182356.92,2005
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,tco2e_100_yr_gwp,77978.75,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,source_mmbtu,20439518.9,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,source_mmbtu,11481350.66,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,source_mmbtu,29367681.54,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,source_mmbtu,93016.32,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,source_mmbtu,123273274.2,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,source_mmbtu,177582187.83,2005
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,source_mmbtu,6314357.94,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,source_mmbtu,123273274.2,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,source_mmbtu,6314357.94,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,source_mmbtu,177582187.83,2005
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,source_mmbtu,177582187.83,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,source_mmbtu,11582374.12,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,source_mmbtu,2049176.81,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,source_mmbtu,3603707.85,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Biofuel,Biofuel,gallon,source_mmbtu,23414.83,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Electricity,Electricity,kWh,source_mmbtu,228182597.54,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Natural gas,Natural gas,SCF,source_mmbtu,59389720.15,2005
GPC,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Steam,Steam,kg,source_mmbtu,23557550.06,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,source_mmbtu,228182597.54,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Steam,Upstream Steam,kg,source_mmbtu,23557550.06,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,source_mmbtu,59389720.15,2005
CLCPA Addition,Stationary Energy,"Commercial and Institutional (commercial, institutional, and streetlights)",Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,source_mmbtu,59389720.15,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,source_mmbtu,2670218.47,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,source_mmbtu,441502.49,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,source_mmbtu,278271.44,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,source_mmbtu,4156.63,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,source_mmbtu,76390310.29,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,source_mmbtu,17816916.04,2005
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,source_mmbtu,7067265.02,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,source_mmbtu,76390310.29,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,source_mmbtu,7067265.02,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,source_mmbtu,17816916.04,2005
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,source_mmbtu,17816916.04,2005
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,source_mmbtu,0.0,2005
